연번,공번,X,Y,표고(m),수위(GL.-m),수위(EL.m),,매립층,붕적층,퇴적층,풍화토,풍화암,연암,보통암,경암,시추심도,비고
19,B-7,386666.24,283052.45,3.76,6,-2.24,,8.7,-,-,4.1,-,3.2,-,-,16,"중부(60만,20만)"
19,TP-1,385462.3,285186.29,0,0,0,,0.2,-,1,-,-,-,-,-,1.2,"중부(60만,20만)"
19,B-9,385289.51,285252.27,41.5,4,37.5,,2.7,-,-,-,1.9,2.2,-,-,6.8,"중부(60만,20만)"
19,TP-2,385711.36,282816.42,0,0,0,,0.7,-,0.3,-,-,-,-,-,1,"중부(60만,20만)"
19,TP-3,385517.71,285034.06,0,0,0,,0.6,-,0.9,-,-,-,-,-,1.5,"중부(60만,20만)"
19,TP-4,386047.26,283584.53,0,0,0,,0.5,-,0.5,-,-,-,-,-,1,"중부(60만,20만)"
19,B-8,386874.47,282899.52,7,0,7,,3.7,-,-,10,4.6,1.2,-,-,19.5,"중부(60만,20만)"
20,BH-1,205183.78,282227.6,4.2,4.3,-0.1,,5.5,-,5,1,15.5,3,-,-,30,"동부(60만,20만)"
20,BH-2,205184.93,282280.48,3.7,6.2,-2.5,,4.5,-,6,-,17.5,3,-,-,31,"동부(60만,20만)"
20,BH-3,205209.9,282288.24,3.7,3.5,0.2,,5.5,-,3.5,3,11.8,3.2,-,-,27,"동부(60만,20만)"
20,BH-4,205201.24,282255.5,3.7,3.1,0.6,,5.5,-,5.5,1.5,12,3,-,-,27.5,"동부(60만,20만)"
20,BH-5,205199.09,282226.73,4,3.2,0.8,,5,-,6,5,8.5,3,-,-,27.5,"동부(60만,20만)"
21,BH-1,204256.79,280258.67,3.2,10.5,-7.3,,-,-,-,-,-,-,-,-,49,"동부(60만,20만)"
21,BH-2,204270.12,280287.97,2.3,9.4,-7.1,,-,-,-,-,-,-,-,-,64,"동부(60만,20만)"
21,BH-3,204280.69,280316.78,2.14,9.2,-7.06,,-,-,-,-,-,-,-,-,52,"동부(60만,20만)"
21,BH-4,204293.49,280345.89,2.95,10.5,-7.55,,-,-,-,-,-,-,-,-,81,"동부(60만,20만)"
21,BH-5,204284.94,280245.32,2.56,9.8,-7.24,,-,-,-,-,-,-,-,-,50,"동부(60만,20만)"
21,BH-6,204297.12,280274.23,3.25,10.3,-7.05,,-,-,-,-,-,-,-,-,48.5,"동부(60만,20만)"
21,BH-7,204302.78,280305.17,3.35,11.4,-8.05,,-,-,-,-,-,-,-,-,78,"동부(60만,20만)"
21,BH-8,204322.04,280325.17,2.5,10.4,-7.9,,-,-,-,-,-,-,-,-,85,"동부(60만,20만)"
21,BH-9,204310.6,280230.87,2.61,10.3,-7.69,,-,-,-,-,-,-,-,-,50,"동부(60만,20만)"
21,BH-10,204322.71,280261.31,3.26,10.9,-7.64,,-,-,-,-,-,-,-,-,52.5,"동부(60만,20만)"
21,BH-11,204326.43,280284.68,3.24,10.9,-7.66,,-,-,-,-,-,-,-,-,58,"동부(60만,20만)"
21,BH-12,204344.99,280308.12,2.53,10.4,-7.87,,-,-,-,-,-,-,-,-,87,"동부(60만,20만)"
21,BH-13,204336.25,280216.42,2.92,10.6,-7.68,,-,-,-,-,-,-,-,-,61,"동부(60만,20만)"
21,BH-14,204348.98,280242.44,3.28,10.9,-7.62,,-,-,-,-,-,-,-,-,66,"동부(60만,20만)"
21,BH-15,204355.31,280272.01,3.27,11,-7.73,,-,-,-,-,-,-,-,-,52,"동부(60만,20만)"
21,BH-16,204367.93,280291.06,2.69,11,-8.31,,-,-,-,-,-,-,-,-,67,"동부(60만,20만)"
21,BH-17,204376.52,280256.02,3.3,11,-7.7,,-,-,-,-,-,-,-,-,51,"동부(60만,20만)"
21,BH-18,204388.64,280271.24,3.14,11.2,-8.06,,-,-,-,-,-,-,-,-,55,"동부(60만,20만)"
21,BH-19,204366.18,280200.24,3.59,11.5,-7.91,,-,-,-,-,-,-,-,-,68,"동부(60만,20만)"
21,BH-20,204381.18,280227.27,3.38,11,-7.62,,-,-,-,-,-,-,-,-,38.4,"동부(60만,20만)"
21,BH-21,204408.88,280257.69,3.26,10.5,-7.24,,-,-,-,-,-,-,-,-,38,"동부(60만,20만)"
21,BH-22,204279.34,280266.62,3.14,10.2,-7.06,,-,-,-,-,-,-,-,-,48.5,"동부(60만,20만)"
21,BH-23,204287.38,280331.18,1.99,9.8,-7.81,,-,-,-,-,-,-,-,-,56,"동부(60만,20만)"
21,BH-24,204279.7,280295.15,3.15,10.9,-7.75,,-,-,-,-,-,-,-,-,60,"동부(60만,20만)"
21,BH-25,204299.48,280289.94,3.2,10.1,-6.9,,-,-,-,-,-,-,-,-,69,"동부(60만,20만)"
21,BH-26,204308.45,280287.21,3.2,9.9,-6.7,,-,-,-,-,-,-,-,-,52,"동부(60만,20만)"
21,BH-27,204373.88,280276.36,3.11,10.7,-7.59,,-,-,-,-,-,-,-,-,62,"동부(60만,20만)"
21,BH-28,204363.3,280232.24,3.32,10.4,-7.08,,-,-,-,-,-,-,-,-,67,"동부(60만,20만)"
,,,최소,0,0,,,0.2,0.7,0.3,0.4,0.4,0.5,1,2,1,
,,,최대,233.3,20,,,18.5,6.7,17.5,28,24.6,17,11,15,87,
,,,평균,233.3,5.4,,,6.5,2.8,5.8,7.6,6.2,3.9,4.1,5.4,28.9,
