제공처,연도,조사명,공번,X,Y,EL표고,GL수위,EL수위,매립층,퇴적점토,퇴적모래,퇴적자갈,풍화토,풍화암,연암,경암,시추심도
국가철도공단,1992,서울~부산간 경부고속철도 제14공구 노반신설 기타공사 지질조사보고서,B-249,203887.319,279644.265,2.4,0.7,1.7,6.5,7.7,-,3.6,2.7,10.5,3.0,-,34.0
국가철도공단,1992,서울~부산간 경부고속철도 제14공구 노반신설 기타공사 지질조사보고서,B-250,203796.982,279684.652,3.5,2.1,1.4,6.0,6.7,5.0,3.3,2.8,-,0.7,2.0,26.5
국가철도공단,2025,부산역 선로 및 승강장 침하 영향분석 용역(지반공학회),BH-1,203747.9492,279740.5847,3.8,2.6,1.2,3.0,1.6,9.9,2.5,5.0,-,-,-,22.0
국가철도공단,2025,부산역 선로 및 승강장 침하 영향분석 용역(지반공학회),BH-2,203846.9084,279964.8664,3.9,2.9,1.0,5.6,1.7,1.4,2.3,3.0,-,-,-,14.0
국가철도공단,2025,부산역 선로 및 승강장 침하 영향분석 용역(지반공학회),BH-3,203966.1317,279947.8462,3.8,4.4,-0.6,8.4,0.9,3.7,-,3.0,-,-,-,16.0
국가철도공단,2025,부산역 선로 및 승강장 침하 영향분석 용역(지반공학회),BH-4,204076.3544,280082.7974,2.9,6.6,-3.7,4.7,2.8,1.8,4.1,2.0,-,-,-,15.4
국가철도공단,2025,부산역 선로 및 승강장 침하 영향분석 용역(지반공학회),NH-4,203968.174,279622.445,4.1,-,-,9.0,2.5,-,-,17.3,-,2.0,-,30.8
국가철도공단,2025,부산역 승강장 침하로 인한 궤도 안정성,NBH-2,203972.899,279989.156,3.5,6.3,-2.8,9.2,0.4,-,3.0,13.0,-,0.8,-,26.4
국가철도공단,2025,부산역 승강장 침하로 인한 궤도 안정성,NBH-3,203943.628,279912.577,3.4,4.9,-1.5,8.0,2.0,0.8,2.0,5.7,-,0.7,-,19.2
국가철도공단,2025,부산역 승강장 침하로 인한 궤도 안정성,NBH-4,203880.306,279750.461,3.5,3.9,-0.4,7.8,5.2,1.2,-,4.3,0.7,0.4,-,19.6
국가철도공단,2025,부산역 인근 지하수 관측공 설치,BH-1,203747.9492,279740.5847,3.8,2.6,1.2,3.0,1.6,9.9,2.5,5.0,-,-,-,22.0
국가철도공단,2025,부산역 인근 지하수 관측공 설치,BH-2,203846.9084,279964.8664,3.9,2.9,1.0,5.6,1.4,1.7,2.3,3.0,-,-,-,14.0
국가철도공단,2025,부산역 인근 지하수 관측공 설치,BH-3,203966.1317,279947.8462,3.8,4.4,-0.6,8.4,3.7,0.9,-,3.0,-,-,-,16.0
국가철도공단,2025,부산역 인근 지하수 관측공 설치,BH-4,204076.3544,280082.7974,2.9,6.6,-3.7,4.7,1.8,2.8,4.1,2.0,-,-,-,15.4
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-1,203639.69,278961.38,2.2,3.2,-1.0,9.0,9.7,-,-,-,-,2.0,-,20.7
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-2,203700.16,279131.78,2.3,3.4,-1.1,10.2,6.3,-,-,-,2.4,2.1,-,21.0
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-3,203785.14,279324.78,2.8,3.1,-0.3,12.0,-,4.5,-,22.3,1.0,2.2,-,42.0
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-4,203862.04,279519.98,2.8,3.2,-0.4,15.0,1.0,-,-,14.6,2.1,2.3,-,35.0
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-5,203935.99,279709.92,3.0,2.9,0.1,8.5,1.2,4.3,3.8,11.0,5.2,3.0,-,37.0
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-6,204008.65,279895.35,3.3,3.8,-0.6,8.7,3.7,-,7.1,-,2.0,2.5,-,24.0
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-7,204132.79,280077.47,3.0,2.7,0.3,10.0,0.6,-,3.9,14.1,7.9,2.5,-,39.0
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-8,204227.35,280235.97,3.1,2.9,0.2,4.8,2.4,-,6.8,12.5,2.7,1.8,-,31.0
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-9,204295.31,280408.84,2.9,3.2,-0.3,4.0,2.2,-,8.3,4.5,11.0,2.0,-,32.0
부산지방해양수산청,2012,부산북항재개발사업 배후도로(지하차도) 건설공사 소규모 지하안전영향평가서(보완),BH-10,204351.16,280550.91,2.7,3.7,-1.0,4.6,1.8,1.9,2.7,15.4,10.5,2.1,-,39.0
